pdate,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,total,totalimei,totalimsi
2016-05-01,23,23,23,23,23,23,10,5,5
2016-05-01,26,26,26,26,26,26,2,2,2
2016-05-01,88,88,88,88,88,88,15594,14368,14368
2016-05-01,89,89,89,89,89,89,28229,26917,26917
2016-05-01,90,90,90,90,90,90,39470,37734,37734
2016-05-01,91,91,91,91,91,91,14449,13695,13695
2016-05-01,92,92,92,92,92,92,2246,2032,2032
2016-05-02,23,23,23,23,23,23,4,2,2
2016-05-02,88,88,88,88,88,88,15709,14608,14608
2016-05-02,89,89,89,89,89,89,28373,27390,27390
2016-05-02,90,90,90,90,90,90,38776,37593,37593
2016-05-02,91,91,91,91,91,91,14788,14188,14188
2016-05-02,92,92,92,92,92,92,2350,2161,2161
2016-05-03,23,23,23,23,23,23,4,2,2
2016-05-03,26,26,26,26,26,26,2,2,2
2016-05-03,88,88,88,88,88,88,15139,14100,14100
2016-05-03,89,89,89,89,89,89,28003,27122,27122
2016-05-03,90,90,90,90,90,90,39121,37894,37894
2016-05-03,91,91,91,91,91,91,15307,14736,14736
2016-05-03,92,92,92,92,92,92,2424,2231,2231
2016-05-04,23,23,23,23,23,23,4,2,2
2016-05-04,26,26,26,26,26,26,1,1,1
2016-05-04,88,88,88,88,88,88,15554,14397,14397
2016-05-04,89,89,89,89,89,89,27906,26839,26839
2016-05-04,90,90,90,90,90,90,39014,37527,37527
2016-05-04,91,91,91,91,91,91,15062,14314,14314
2016-05-04,92,92,92,92,92,92,2459,2254,2254
2016-05-05,23,23,23,23,23,23,2,1,1
2016-05-05,26,26,26,26,26,26,1,1,1
2016-05-05,88,88,88,88,88,88,15210,14131,14131
2016-05-05,89,89,89,89,89,89,27858,26669,26669
2016-05-05,90,90,90,90,90,90,38426,36898,36898
2016-05-05,91,91,91,91,91,91,15950,15150,15150
2016-05-05,92,92,92,92,92,92,2553,2339,2339
2016-05-06,23,23,23,23,23,23,6,3,3
2016-05-06,26,26,26,26,26,26,1,1,1
2016-05-06,88,88,88,88,88,88,17047,15933,15933
2016-05-06,89,89,89,89,89,89,29333,28252,28252
2016-05-06,90,90,90,90,90,90,37217,36064,36064
2016-05-06,91,91,91,91,91,91,13977,13497,13497
2016-05-06,92,92,92,92,92,92,2419,2258,2258
2016-05-07,23,23,23,23,23,23,4,2,2
2016-05-07,26,26,26,26,26,26,1,1,1
2016-05-07,88,88,88,88,88,88,16086,15162,15162
2016-05-07,89,89,89,89,89,89,28647,27818,27818
2016-05-07,90,90,90,90,90,90,37724,36798,36798
2016-05-07,91,91,91,91,91,91,15075,14624,14624
2016-05-07,92,92,92,92,92,92,2463,2313,2313
2016-05-08,26,26,26,26,26,26,1,1,1
2016-05-08,88,88,88,88,88,88,16200,15439,15439
2016-05-08,89,89,89,89,89,89,28458,27995,27995
2016-05-08,90,90,90,90,90,90,38412,37860,37860
2016-05-08,91,91,91,91,91,91,14618,14369,14369
2016-05-08,92,92,92,92,92,92,2311,2266,2266
2016-05-09,26,26,26,26,26,26,2,2,2
2016-05-09,88,88,88,88,88,88,15106,14470,14470
2016-05-09,89,89,89,89,89,89,27733,27339,27339
2016-05-09,90,90,90,90,90,90,39737,39325,39325
2016-05-09,91,91,91,91,91,91,15062,14872,14872
2016-05-09,92,92,92,92,92,92,2360,2330,2330
2016-05-10,88,88,88,88,88,88,15396,14743,14743
2016-05-10,89,89,89,89,89,89,28241,27853,27853
2016-05-10,90,90,90,90,90,90,39448,39051,39051
2016-05-10,91,91,91,91,91,91,14481,14338,14338
2016-05-10,92,92,92,92,92,92,2434,2396,2396
