pdate,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,totalcount,base_totalcount,ratio,ratio_per
2016-05-01,23,23,23,23,23,23,5,7,0.71,71.43
2016-05-01,26,26,26,26,26,26,2,2,1.0,100.0
2016-05-01,88,88,88,88,88,88,14362,28848,0.5,49.79
2016-05-01,89,89,89,89,89,89,26907,54080,0.5,49.75
2016-05-01,90,90,90,90,90,90,37716,74999,0.5,50.29
2016-05-01,91,91,91,91,91,91,13686,27776,0.49,49.27
2016-05-01,92,92,92,92,92,92,2031,4179,0.49,48.6
2016-05-02,23,23,23,23,23,23,2,7,0.29,28.57
2016-05-02,88,88,88,88,88,88,14606,28848,0.51,50.63
2016-05-02,89,89,89,89,89,89,27385,54080,0.51,50.64
2016-05-02,90,90,90,90,90,90,37570,74999,0.5,50.09
2016-05-02,91,91,91,91,91,91,14183,27776,0.51,51.06
2016-05-02,92,92,92,92,92,92,2160,4179,0.52,51.69
2016-05-03,88,88,88,88,88,88,195,28848,0.01,0.68
2016-05-03,89,89,89,89,89,89,348,54080,0.01,0.64
2016-05-03,90,90,90,90,90,90,493,74999,0.01,0.66
2016-05-03,91,91,91,91,91,91,208,27776,0.01,0.75
2016-05-03,92,92,92,92,92,92,30,4179,0.01,0.72
2016-05-04,88,88,88,88,88,88,182,28848,0.01,0.63
2016-05-04,89,89,89,89,89,89,313,54080,0.01,0.58
2016-05-04,90,90,90,90,90,90,482,74999,0.01,0.64
2016-05-04,91,91,91,91,91,91,192,27776,0.01,0.69
2016-05-04,92,92,92,92,92,92,34,4179,0.01,0.81
2016-05-05,88,88,88,88,88,88,209,28848,0.01,0.72
2016-05-05,89,89,89,89,89,89,360,54080,0.01,0.67
2016-05-05,90,90,90,90,90,90,459,74999,0.01,0.61
2016-05-05,91,91,91,91,91,91,198,27776,0.01,0.71
2016-05-05,92,92,92,92,92,92,37,4179,0.01,0.89
2016-05-06,88,88,88,88,88,88,340,28848,0.01,1.18
2016-05-06,89,89,89,89,89,89,516,54080,0.01,0.95
2016-05-06,90,90,90,90,90,90,603,74999,0.01,0.8
2016-05-06,91,91,91,91,91,91,254,27776,0.01,0.91
2016-05-06,92,92,92,92,92,92,45,4179,0.01,1.08
2016-05-07,23,23,23,23,23,23,1,7,0.14,14.29
2016-05-07,88,88,88,88,88,88,329,28848,0.01,1.14
2016-05-07,89,89,89,89,89,89,505,54080,0.01,0.93
2016-05-07,90,90,90,90,90,90,664,74999,0.01,0.89
2016-05-07,91,91,91,91,91,91,247,27776,0.01,0.89
2016-05-07,92,92,92,92,92,92,42,4179,0.01,1.01
2016-05-08,26,26,26,26,26,26,1,2,0.5,50.0
2016-05-08,88,88,88,88,88,88,198,28848,0.01,0.69
2016-05-08,89,89,89,89,89,89,341,54080,0.01,0.63
2016-05-08,90,90,90,90,90,90,440,74999,0.01,0.59
2016-05-08,91,91,91,91,91,91,184,27776,0.01,0.66
2016-05-08,92,92,92,92,92,92,29,4179,0.01,0.69
2016-05-09,88,88,88,88,88,88,197,28848,0.01,0.68
2016-05-09,89,89,89,89,89,89,339,54080,0.01,0.63
2016-05-09,90,90,90,90,90,90,528,74999,0.01,0.7
2016-05-09,91,91,91,91,91,91,226,27776,0.01,0.81
2016-05-09,92,92,92,92,92,92,38,4179,0.01,0.91
2016-05-10,88,88,88,88,88,88,229,28848,0.01,0.79
2016-05-10,89,89,89,89,89,89,366,54080,0.01,0.68
2016-05-10,90,90,90,90,90,90,494,74999,0.01,0.66
2016-05-10,91,91,91,91,91,91,244,27776,0.01,0.88
2016-05-10,92,92,92,92,92,92,37,4179,0.01,0.89
